Freq,Posting_ptr,Terms_ptr
4,"[29, 47, 44, 2]",0
2,"[48, 46]",4
3,"[30, 65, 30]",9
16,"[14, 28, 70, 69, 68, 11, 36, 10, 63, 56, 35, 6, 35, 54, 57, 4]",14
20,"[41, 33, 30, 38, 37, 35, 73, 57, 85, 15, 65, 83, 58, 82, 27, 45, 47, 18, 44, 77]",17
1,[78],23
2,"[58, 58]",31
2,"[9, 17]",35
1,[34],44
1,[81],53
2,"[1, 48]",57
1,[7],62
2,"[18, 32]",71
4,"[49, 40, 49, 64]",75
24,"[13, 3, 23, 60, 21, 16, 31, 17, 24, 21, 67, 19, 17, 19, 13, 5, 37, 30, 50, 58, 30, 13, 38, 13]",80
2,"[17, 67]",83
3,"[4, 68, 71]",89
1,[13],92
8,"[17, 40, 14, 34, 23, 70, 21, 35]",96
1,[59],100
5,"[60, 59, 34, 9, 33]",104
1,[48],109
1,[48],117
1,[27],123
2,"[61, 13]",132
1,[50],137
1,[57],146
3,"[42, 61, 28]",150
1,[9],159
10,"[30, 42, 30, 33, 67, 16, 31, 30, 0, 64]",162
5,"[66, 34, 16, 47, 30]",166
1,[14],171
1,[81],175
1,[44],179
1,[30],184
1,[27],194
16,"[12, 26, 12, 26, 26, 26, 73, 20, 74, 30, 22, 12, 73, 76, 20, 20]",198
2,"[75, 52]",206
16,"[56, 61, 61, 36, 54, 36, 27, 27, 23, 18, 9, 5, 17, 24, 23, 54]",208
2,"[34, 18]",212
21,"[63, 63, 63, 21, 61, 46, 45, 52, 16, 56, 56, 31, 16, 29, 21, 59, 59, 59, 59, 59, 29]",215
5,"[16, 32, 27, 5, 68]",219
1,[44],224
2,"[53, 15]",230
1,[16],235
1,[58],243
1,[55],251
1,[29],255
8,"[68, 18, 16, 60, 59, 54, 45, 43]",260
1,[15],266
3,"[33, 35, 62]",275
2,"[4, 3]",280
1,[72],283
3,"[20, 62, 20]",289
2,"[45, 48]",292
1,[71],296
1,[48],303
9,"[30, 36, 31, 22, 47, 24, 67, 59, 29]",308
3,"[16, 81, 37]",312
1,[23],316
4,"[17, 17, 17, 17]",321
1,[44],325
1,[46],335
3,"[62, 55, 62]",344
1,[35],351
11,"[49, 48, 44, 47, 44, 44, 44, 50, 35, 59, 26]",364
2,"[59, 62]",374
1,[29],377
1,[15],384
1,[47],391
1,[77],395
1,[48],399
3,"[47, 7, 15]",406
1,[49],410
1,[27],416
1,[56],421
1,[12],425
1,[59],433
1,[11],441
1,[51],446
5,"[44, 2, 49, 48, 47]",448
5,"[21, 6, 20, 44, 74]",452
1,[81],456
19,"[64, 10, 3, 62, 25, 21, 42, 28, 54, 57, 58, 84, 58, 37, 43, 74, 69, 48, 58]",463
1,[75],467
2,"[16, 16]",470
4,"[28, 34, 10, 24]",477
1,[50],480
2,"[53, 1]",494
2,"[52, 44]",498
3,"[78, 63, 84]",505
2,"[14, 5]",509
1,[5],512
1,[14],516
1,[77],522
4,"[80, 80, 75, 80]",529
1,[10],534
1,[34],537
1,[19],542
2,"[10, 40]",550
12,"[59, 36, 66, 72, 27, 22, 36, 27, 28, 56, 31, 58]",559
7,"[2, 48, 22, 49, 21, 57, 2]",563
4,"[81, 16, 80, 83]",569
3,"[62, 29, 19]",574
1,[12],580
3,"[52, 21, 47]",586
2,"[7, 72]",590
1,[53],595
3,"[77, 77, 63]",600
1,[81],605
1,[83],609
1,[37],615
2,"[35, 35]",623
1,[40],631
1,[81],635
3,"[16, 21, 68]",640
1,[10],645
4,"[18, 18, 18, 18]",648
4,"[79, 79, 79, 79]",655
9,"[7, 69, 76, 28, 34, 70, 28, 15, 76]",662
1,[9],671
1,[26],677
16,"[47, 52, 49, 44, 44, 52, 27, 62, 20, 26, 29, 50, 68, 33, 50, 62]",683
2,"[67, 67]",691
1,[59],697
1,[10],701
4,"[48, 57, 57, 57]",709
13,"[83, 4, 62, 28, 11, 28, 11, 22, 69, 34, 47, 36, 59]",716
1,[30],722
5,"[72, 2, 14, 25, 72]",727
1,[15],736
2,"[26, 35]",747
3,"[77, 17, 3]",753
2,"[9, 5]",758
1,[41],764
1,[44],770
5,"[39, 14, 13, 70, 45]",778
1,[6],782
1,[6],787
4,"[55, 47, 44, 54]",794
2,"[10, 10]",798
4,"[62, 57, 44, 24]",803
1,[82],808
5,"[18, 18, 32, 9, 77]",814
2,"[77, 77]",819
1,[16],823
12,"[45, 23, 9, 16, 18, 76, 47, 59, 57, 56, 54, 61]",831
1,[60],839
1,[21],844
2,"[2, 50]",848
8,"[62, 55, 20, 41, 52, 57, 62, 59]",854
1,[76],861
1,[1],865
1,[78],871
2,"[19, 19]",878
1,[67],884
4,"[38, 51, 38, 51]",891
1,[67],896
1,[54],905
1,[32],913
1,[16],918
2,"[26, 44]",925
1,[81],931
11,"[14, 61, 27, 5, 53, 38, 15, 65, 40, 39, 34]",940
7,"[60, 16, 75, 79, 63, 15, 52]",946
1,[42],953
2,"[85, 86]",959
1,[62],967
4,"[29, 64, 62, 62]",980
1,[80],987
4,"[64, 37, 74, 29]",992
10,"[80, 56, 27, 28, 26, 1, 24, 73, 80, 36]",999
1,[33],1007
1,[1],1015
1,[17],1023
5,"[21, 47, 74, 44, 23]",1029
4,"[57, 49, 44, 81]",1036
1,[55],1045
1,[56],1053
1,[16],1059
1,[1],1067
1,[2],1076
1,[37],1087
2,"[50, 51]",1097
1,[1],1104
2,"[8, 22]",1114
1,[5],1120
5,"[14, 56, 45, 56, 3]",1128
2,"[47, 40]",1135
2,"[59, 44]",1144
1,[66],1151
1,[39],1163
2,"[85, 75]",1172
1,[59],1178
3,"[60, 30, 25]",1186
1,[29],1194
1,[26],1203
1,[51],1211
2,"[61, 43]",1220
1,[27],1231
3,"[29, 56, 0]",1239
1,[40],1247
1,[34],1258
4,"[43, 30, 77, 40]",1267
2,"[25, 66]",1277
2,"[47, 48]",1284
1,[21],1292
3,"[19, 55, 28]",1299
4,"[42, 13, 9, 18]",1308
2,"[53, 13]",1315
2,"[36, 26]",1323
1,[32],1330
1,[28],1339
1,[66],1350
1,[18],1357
7,"[7, 60, 1, 61, 10, 3, 33]",1365
1,[14],1372
1,[10],1381
1,[59],1390
1,[5],1400
1,[17],1409
1,[81],1418
1,[84],1426
1,[66],1434
1,[52],1442
1,[59],1449
5,"[62, 55, 17, 30, 65]",1458
1,[59],1464
2,"[76, 81]",1471
1,[59],1479
1,[57],1488
1,[8],1496
5,"[48, 67, 9, 59, 81]",1505
1,[6],1510
1,[14],1518
3,"[25, 66, 7]",1522
1,[16],1527
1,[55],1535
4,"[43, 25, 25, 84]",1540
2,"[82, 58]",1545
1,[36],1553
1,[32],1558
1,[21],1563
4,"[5, 69, 7, 72]",1571
1,[24],1576
1,[41],1584
1,[1],1587
1,[30],1594
26,"[7, 6, 28, 13, 13, 27, 0, 56, 27, 85, 46, 11, 67, 9, 10, 13, 10, 29, 6, 54, 5, 85, 42, 5, 6, 4]",1598
1,[17],1602
1,[55],1609
2,"[59, 44]",1618
1,[48],1625
1,[72],1630
3,"[37, 37, 37]",1635
1,[28],1643
1,[57],1647
1,[54],1653
2,"[2, 2]",1657
1,[34],1666
2,"[77, 77]",1672
6,"[46, 24, 32, 32, 32, 43]",1674
1,[43],1678
1,[4],1684
1,[27],1688
1,[38],1694
7,"[30, 26, 47, 46, 16, 65, 59]",1701
9,"[51, 36, 77, 77, 77, 68, 17, 17, 17]",1707
1,[43],1711
3,"[25, 25, 27]",1716
2,"[55, 30]",1721
2,"[86, 72]",1726
1,[16],1731
2,"[12, 22]",1738
1,[38],1743
5,"[15, 15, 15, 15, 15]",1751
1,[76],1756
1,[48],1763
1,[1],1769
1,[56],1775
2,"[46, 46]",1781
1,[28],1784
1,[69],1793
1,[28],1797
1,[59],1800
1,[74],1805
1,[69],1811
3,"[49, 83, 82]",1818
14,"[2, 29, 2, 29, 15, 29, 11, 2, 2, 29, 2, 29, 2, 29]",1826
1,[21],1831
4,"[78, 78, 78, 78]",1840
2,"[42, 16]",1843
1,[59],1849
1,[79],1852
5,"[71, 4, 4, 9, 13]",1856
2,"[6, 6]",1860
1,[10],1865
3,"[15, 15, 15]",1871
4,"[47, 74, 34, 74]",1878
2,"[80, 38]",1887
1,[81],1898
1,[24],1905
1,[83],1911
3,"[47, 47, 47]",1917
1,[36],1922
2,"[36, 36]",1931
4,"[47, 47, 47, 47]",1937
2,"[25, 25]",1941
1,[44],1946
2,"[77, 74]",1950
1,[66],1954
4,"[23, 17, 23, 17]",1963
3,"[6, 7, 5]",1965
9,"[54, 27, 24, 27, 71, 61, 31, 28, 31]",1971
1,[69],1976
1,[18],1983
6,"[81, 36, 36, 36, 36, 36]",1989
1,[80],1996
1,[48],2002
1,[54],2013
2,"[28, 18]",2016
1,[36],2026
2,"[70, 70]",2032
1,[18],2038
10,"[29, 29, 8, 28, 55, 53, 17, 25, 21, 17]",2043
3,"[71, 11, 7]",2048
1,[19],2052
12,"[13, 16, 13, 13, 21, 21, 37, 21, 19, 37, 19, 37]",2057
1,[0],2062
11,"[37, 58, 76, 83, 76, 83, 1, 58, 83, 47, 47]",2066
1,[75],2072
2,"[28, 76]",2078
11,"[49, 57, 57, 49, 26, 38, 62, 19, 41, 80, 62]",2084
1,[70],2089
