Freq,Posting_ptr,Terms_ptr
2,"[2, 29]",0
2,"[30, 30]",4
9,"[14, 35, 28, 11, 36, 4, 10, 35, 6]",9
7,"[30, 37, 35, 27, 33, 15, 18]",12
2,"[17, 9]",18
1,[34],27
1,[1],36
1,[7],41
2,"[18, 32]",50
20,"[19, 19, 5, 3, 21, 37, 24, 23, 21, 17, 31, 16, 30, 17, 30, 21, 13, 13, 13, 13]",54
1,[17],57
1,[4],63
1,[13],66
6,"[23, 35, 34, 14, 21, 17]",70
3,"[9, 33, 34]",74
1,[27],79
1,[13],88
1,[28],93
1,[9],102
7,"[31, 30, 33, 16, 30, 30, 0]",105
3,"[30, 34, 16]",109
1,[14],114
1,[30],118
1,[27],128
12,"[12, 26, 26, 20, 26, 30, 20, 12, 26, 12, 22, 20]",132
11,"[27, 17, 18, 27, 9, 36, 36, 5, 23, 24, 23]",140
2,"[18, 34]",144
7,"[21, 21, 31, 29, 29, 16, 16]",147
4,"[27, 5, 32, 16]",151
1,[15],156
1,[16],161
1,[29],169
2,"[16, 18]",174
1,[15],180
2,"[33, 35]",189
2,"[4, 3]",194
2,"[20, 20]",197
6,"[22, 24, 30, 36, 29, 31]",200
2,"[37, 16]",204
1,[23],208
4,"[17, 17, 17, 17]",213
1,[35],217
2,"[35, 26]",230
1,[29],240
1,[15],247
2,"[7, 15]",254
1,[27],258
1,[12],263
1,[11],271
1,[2],276
3,"[20, 21, 6]",280
6,"[37, 28, 21, 3, 25, 10]",284
2,"[16, 16]",288
4,"[34, 24, 10, 28]",295
1,[1],298
2,"[5, 14]",302
1,[5],305
1,[14],309
1,[35],315
1,[10],316
1,[34],319
1,[19],324
1,[10],332
7,"[27, 27, 22, 36, 36, 28, 31]",341
4,"[21, 2, 22, 2]",345
1,[16],351
2,"[19, 29]",356
1,[12],362
1,[21],368
1,[7],372
1,[37],377
3,"[35, 35, 35]",385
2,"[21, 16]",393
1,[10],398
4,"[18, 18, 18, 18]",401
5,"[7, 28, 34, 28, 15]",408
1,[9],417
1,[26],423
5,"[26, 20, 27, 29, 33]",429
1,[10],437
8,"[4, 22, 11, 11, 34, 28, 28, 36]",445
1,[30],451
3,"[25, 14, 2]",456
1,[15],465
2,"[26, 35]",476
2,"[3, 17]",482
2,"[5, 9]",487
2,"[14, 13]",493
1,[6],497
1,[6],502
2,"[10, 10]",509
1,[24],514
4,"[18, 18, 9, 32]",519
1,[16],524
4,"[9, 16, 18, 23]",532
1,[21],540
1,[2],544
1,[20],550
1,[1],557
2,"[19, 19]",563
1,[32],569
1,[16],574
1,[26],581
5,"[5, 14, 34, 15, 27]",587
2,"[16, 15]",593
1,[29],600
2,"[37, 29]",607
6,"[27, 24, 1, 28, 26, 36]",614
1,[33],622
1,[1],630
1,[17],638
2,"[23, 21]",644
1,[16],651
1,[1],659
1,[2],668
1,[37],679
1,[1],689
2,"[22, 8]",699
1,[5],705
2,"[14, 3]",713
2,"[30, 25]",720
1,[29],728
1,[26],737
1,[27],745
2,"[29, 0]",753
1,[34],761
1,[30],770
1,[25],780
1,[21],787
2,"[28, 19]",794
3,"[13, 18, 9]",803
1,[13],810
2,"[36, 26]",818
1,[32],825
1,[28],834
1,[18],845
5,"[3, 1, 7, 10, 33]",853
1,[14],860
1,[10],869
1,[5],878
1,[17],887
1,[21],896
2,"[17, 30]",906
1,[8],912
1,[9],921
1,[6],926
1,[14],934
2,"[25, 7]",938
1,[16],943
2,"[25, 25]",951
1,[36],956
1,[32],961
2,"[21, 21]",966
2,"[5, 7]",974
1,[24],979
1,[1],987
1,[30],994
19,"[6, 7, 6, 28, 6, 10, 10, 5, 13, 13, 0, 27, 5, 9, 27, 29, 13, 11, 4]",998
1,[17],1002
3,"[37, 37, 37]",1009
1,[28],1017
2,"[2, 2]",1021
1,[34],1030
4,"[24, 32, 32, 32]",1036
1,[4],1040
1,[27],1044
3,"[30, 26, 16]",1050
4,"[36, 17, 17, 17]",1056
3,"[25, 27, 25]",1060
1,[25],1065
1,[30],1075
1,[16],1080
2,"[12, 22]",1087
5,"[15, 15, 15, 15, 15]",1092
1,[1],1097
1,[28],1103
1,[28],1112
1,[2],1115
14,"[2, 29, 2, 15, 2, 2, 2, 2, 29, 29, 11, 29, 29, 29]",1126
1,[21],1131
1,[16],1140
4,"[4, 9, 4, 13]",1146
2,"[6, 6]",1150
1,[10],1155
3,"[15, 15, 15]",1161
1,[34],1168
1,[24],1177
1,[36],1183
1,[36],1190
3,"[36, 36, 36]",1199
2,"[25, 25]",1205
4,"[17, 17, 23, 23]",1210
3,"[27, 36, 18]",1212
3,"[6, 5, 7]",1214
6,"[27, 24, 28, 31, 31, 27]",
1,[18],
5,"[36, 36, 36, 36, 36]",
1,[35],
1,[24],
2,"[28, 18]",
1,[36],
1,[18],
8,"[25, 17, 17, 29, 8, 28, 21, 29]",
1,[2],
2,"[11, 7]",
1,[19],
13,"[13, 21, 21, 21, 19, 13, 37, 21, 13, 37, 16, 37, 19]",
1,[0],
1,[36],
2,"[37, 1]",
1,[28],
2,"[26, 19]",
73,"[37, 28, 29, 32, 27, 31, 20, 24, 34, 10, 36, 5, 16, 28, 4, 36, 32, 10, 2, 27, 17, 30, 24, 15, 33, 16, 23, 26, 36, 23, 21, 12, 33, 23, 20, 29, 27, 28, 27, 24, 13, 24, 17, 30, 27, 16, 21, 31, 16, 27, 28, 35, 27, 18, 35, 35, 18, 34, 35, 18, 16, 25, 24, 0, 14, 17, 36, 35, 5, 17, 14, 34, 22]",
1,[5],
16,"[18, 16, 36, 20, 16, 35, 36, 33, 32, 37, 22, 36, 26, 4, 33, 29]",
31,"[33, 8, 19, 37, 29, 27, 29, 25, 6, 15, 28, 11, 17, 23, 9, 36, 37, 1, 20, 30, 30, 27, 32, 29, 17, 7, 24, 21, 34, 12, 26]",
4,"[5, 15, 16, 4]",
1,[34],
1,[5],
2,"[6, 7]",
1,[20],
1,[1],
2,"[29, 21]",
35,"[35, 22, 34, 23, 23, 17, 30, 15, 2, 36, 31, 21, 33, 21, 10, 31, 32, 37, 13, 26, 13, 0, 28, 27, 13, 20, 32, 14, 24, 28, 13, 33, 17, 23, 26]",
1,[16],
21,"[16, 15, 19, 34, 33, 37, 2, 1, 14, 17, 16, 20, 30, 31, 16, 3, 1, 21, 16, 13, 25]",
2,"[16, 16]",
2,"[17, 33]",
1,[21],
3,"[5, 17, 23]",
79,"[14, 0, 14, 0, 17, 30, 13, 13, 30, 31, 32, 21, 14, 24, 16, 15, 15, 14, 31, 15, 29, 30, 1, 35, 26, 10, 3, 10, 8, 3, 3, 10, 20, 17, 25, 3, 22, 25, 8, 22, 3, 36, 29, 34, 6, 18, 25, 20, 5, 19, 6, 9, 34, 22, 34, 28, 27, 27, 1, 2, 6, 12, 33, 26, 27, 11, 2, 10, 22, 36, 37, 25, 21, 3, 21, 1, 27, 7, 11]",
1,[30],
1,[31],
2,"[24, 27]",
1,[28],
3,"[20, 2, 22]",
1,[35],
1,[37],
1,[28],
1,[35],
1,[15],
1,[15],
1,[29],
1,[25],
1,[9],
7,"[5, 3, 6, 2, 8, 4, 9]",
1,[16],
1,[17],
1,[37],
1,[36],
2,"[1, 28]",
1,[34],
1,[30],
1,[17],
1,[13],
6,"[17, 23, 26, 27, 33, 34]",
1,[36],
1,[30],
2,"[19, 37]",
1,[29],
1,[34],
2,"[14, 14]",
1,[26],
1,[32],
1,[1],
1,[15],
1,[8],
1,[30],
1,[36],
1,[19],
2,"[22, 23]",
1,[2],
1,[25],
1,[21],
1,[34],
2,"[27, 27]",
3,"[37, 29, 2]",
1,[36],
1,[2],
1,[9],
1,[22],
1,[3],
1,[16],
2,"[37, 13]",
1,[22],
2,"[2, 2]",
2,"[16, 3]",
1,[15],
4,"[9, 9, 16, 17]",
1,[3],
1,[16],
2,"[3, 16]",
2,"[18, 34]",
4,"[7, 18, 26, 36]",
1,[15],
1,[25],
1,[27],
1,[4],
1,[23],
1,[3],
2,"[17, 23]",
5,"[35, 9, 15, 35, 15]",
1,[18],
1,[9],
5,"[4, 3, 8, 2, 5]",
1,[28],
1,[36],
6,"[18, 24, 27, 27, 28, 27]",
1,[23],
3,"[34, 28, 27]",
6,"[0, 1, 6, 2, 4, 3]",
9,"[21, 25, 37, 32, 7, 23, 22, 25, 36]",
2,"[25, 27]",
2,"[23, 23]",
1,[23],
3,"[28, 27, 34]",
1,[24],
1,[20],
1,[36],
1,[7],
1,[6],
2,"[35, 33]",
1,[16],
1,[16],
1,[7],
1,[28],
1,[24],
1,[32],
1,[27],
4,"[15, 4, 2, 29]",
5,"[11, 11, 11, 29, 29]",
1,[24],
1,[19],
1,[16],
2,"[10, 10]",
2,"[11, 10]",
2,"[12, 12]",
1,[27],
1,[31],
8,"[22, 22, 22, 22, 8, 12, 12, 8]",
1,[20],
3,"[27, 20, 25]",
2,"[16, 37]",
2,"[14, 14]",
10,"[31, 31, 24, 29, 35, 31, 1, 23, 17, 3]",
2,"[24, 28]",
1,[16],
2,"[18, 28]",
1,[11],
2,"[27, 30]",
5,"[13, 9, 13, 17, 2]",
2,"[13, 17]",
7,"[36, 17, 25, 17, 17, 25, 27]",
2,"[29, 21]",
2,"[1, 1]",
1,[17],
1,[2],
1,[27],
1,[1],
1,[33],
2,"[21, 7]",
1,[36],
2,"[11, 11]",
1,[33],
7,"[17, 11, 1, 36, 18, 17, 23]",
2,"[23, 25]",
3,"[32, 32, 32]",
2,"[28, 18]",
1,[35],
1,[21],
1,[20],
1,[16],
2,"[3, 3]",
5,"[18, 36, 23, 27, 25]",
1,[30],
2,"[15, 13]",
8,"[7, 35, 12, 31, 30, 21, 28, 16]",
3,"[26, 12, 21]",
1,[21],
1,[18],
2,"[16, 3]",
8,"[3, 0, 4, 6, 24, 2, 33, 1]",
4,"[34, 35, 35, 16]",
1,[14],
5,"[27, 28, 29, 16, 22]",
1,[27],
28,"[20, 33, 17, 29, 27, 19, 37, 36, 22, 33, 31, 28, 21, 30, 16, 5, 14, 36, 37, 13, 22, 29, 21, 20, 26, 15, 17, 37]",
4,"[25, 23, 16, 16]",
3,"[11, 9, 11]",
1,[20],
1,[16],
2,"[26, 26]",
1,[1],
2,"[27, 18]",
3,"[34, 10, 32]",
2,"[10, 6]",
1,[13],
1,[16],
12,"[22, 21, 30, 27, 20, 27, 26, 3, 3, 27, 27, 10]",
1,[27],
2,"[25, 36]",
1,[2],
1,[28],
1,[16],
2,"[26, 29]",
7,"[3, 2, 4, 9, 6, 8, 5]",
1,[2],
2,"[10, 19]",
3,"[15, 15, 8]",
2,"[36, 36]",
7,"[26, 20, 19, 35, 35, 10, 29]",
1,[4],
1,[9],
1,[22],
2,"[3, 21]",
4,"[14, 14, 14, 21]",
