no,title,content,clean_content,url
1,Puri Kayana Camping Ground ," kangen ngecamp nggak nih? Cuss berkemah dengan pemandangan alam dan perkebunan di Puri Kayana, Kabupaten Semarang. Kamu juga bisa petik stroberi lho di sana. Info selengkapnya >> @puri_kayana

  Follow yuk @pesona_kabsemarang
 ", kangen ngecamp nggak nih cuss berkemah dengan pemandangan alam dan perkebunan di puri kayana kabupaten semarang kamu juga bisa petik stroberi lho di sana info selengkapnya follow yuk ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/puri-kayana-camping-ground
2,Mengunjungi Wisata Religi Nyatnyono ,"Desa Nyatnyono di lereng Gunung Ungaran dikenal sebagai desa wisata berbasis religi. Di sini terdapat Masjid Subulussalam peninggalan Syekh Hasan Munadi, tokoh penyiar agama Islam yang hidup pada masa awal berdirinya Kesultanan Demak Bintoro. Beliau berdakwah bersama putranya Syekh Hasan Dipuro hingga wafat. Kini, makamnya selalu ramai peziarah dari berbagai daerah.

  Buruan follow @pesona_kabsemarang untuk info terbaru wisata di Kab Semarang",desa nyatnyono di lereng gunung ungaran dikenal sebagai desa wisata berbasis religi di sini terdapat masjid subulussalam peninggalan syekh hasan munadi tokoh penyiar agama islam yang hidup pada masa awal berdirinya kesultanan demak bintoro beliau berdakwah bersama putranya syekh hasan dipuro hingga wafat kini makamnya selalu ramai peziarah dari berbagai daerah buruan follow untuk info terbaru wisata di kab semarang,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/mengunjungi-wisata-religi-nyatnyono
3,"Candi Dukuh, Petilasan Prabu Brawijaya ","Candi Dukuh terletak di Desa Rowoboni, Kecamatan Banyubiru, Kabupaten Semarang. Masyarakat sekitar menyebutnya Candi Brawijaya karena diyakini tempat tersebut pernah disinggahi Sang Raja Majapahit, Prabu Brawijaya. Pada saat ditemukan, hanya tersisa bagian kaki candi. Begitu pula bagian tubuh dan atap candi kondisinya tidak lengkap. Berdasarkan konstruksi, candi Dukuh serupa dengan Candi Gedong Songo yang dibangun pada abad 9.

  Jangan lupa follow @pesona_kabsemarang untuk info wisata menarik lainnya di Kab. Semarang yaaa

  





 
 ",candi dukuh terletak di desa rowoboni kecamatan banyubiru kabupaten semarang masyarakat sekitar menyebutnya candi brawijaya karena diyakini tempat tersebut pernah disinggahi sang raja majapahit prabu brawijaya pada saat ditemukan hanya tersisa bagian kaki candi begitu pula bagian tubuh dan atap candi kondisinya tidak lengkap berdasarkan konstruksi candi dukuh serupa dengan candi gedong songo yang dibangun pada abad jangan lupa follow untuk info wisata menarik lainnya di kab semarang yaaa ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/candi-dukuh-petilasan-prabu-brawijaya
4,5 Hal Spesial Di Desa Wisata Lerep ,"Jalan-jalan ke Semarang? Mampirlah ke Desa Wisata Lerep di Ungaran Barat, Kabupaten Semarang. Apa saja yang spesial di sini? Kesatu, serunya edu-eco tour membuat permen susu atau membuat keripik. Kedua, relaksasi pikiran di air terjun Indrokilo. Ketiga, berfoto di Embung Sebligo. Keempat, jelajah watu gunung bersama keluarga. Kelima, icip-icip kuliner tempo dulu di pasar kuliner setiap minggu pon.
: @desawisatalerep

---
  Yuk, follow @pesona_kabsemarang untuk info wisata menarik lainnya di Kab Semarang










 ",jalan jalan ke semarang mampirlah ke desa wisata lerep di ungaran barat kabupaten semarang apa saja yang spesial di sini kesatu serunya edu eco tour membuat permen susu atau membuat keripik kedua relaksasi pikiran di air terjun indrokilo ketiga berfoto di embung sebligo keempat jelajah watu gunung bersama keluarga kelima icip icip kuliner tempo dulu di pasar kuliner setiap minggu pon yuk follow untuk info wisata menarik lainnya di kab semarang ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/5-hal-spesial-di-desa-wisata-lerep
5,All In One In Sunrise Hill Gedong Songo ," lagi cari referensi resto? Penginapan? Spot selfie? Buat apa cari banyak tempat kalau bisa datang ke 1 tempat aja dan udah dapat semuanya. Emang ada? @sunrisehill.gedong.songo jawabannya!

  Follow @pesona_kabsemarang untuk info wisata menarik lainnya.





", lagi cari referensi resto penginapan spot selfie buat apa cari banyak tempat kalau bisa datang ke tempat aja dan udah dapat semuanya emang ada gedong songo jawabannya follow untuk info wisata menarik lainnya ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/all-in-one-in-sunrise-hill-gedong-songo
6,Danuwo Waterpark ,"WORO-WORO : AYO, KE DANUWO Segar dan bikin kenyang? Ayoo, ke @DanuwoResto. Daya tarik wisata ini berada di kecamatan Kaliwungu, ujung selatan Kabupaten Semarang.  bisa cobain wahana air yang segarnya nyata, seperti kolam renang dewasa, anak dan keceh. Selesai berenang, bisa langsung pesan aneka masakan berselera. Makin seru kalau datang rame-rame bareng keluarga. 



",woro woro ayo ke danuwo segar dan bikin kenyang ayoo ke daya tarik wisata ini berada di kecamatan kaliwungu ujung selatan kabupaten semarang bisa cobain wahana air yang segarnya nyata seperti kolam renang dewasa anak dan keceh selesai berenang bisa langsung pesan aneka masakan berselera makin seru kalau datang rame rame bareng keluarga ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/danuwo-waterpark
7,Watu Gajah Park ,"WARNAI LIBURANMU DI WATU GAJAH PARK Wuih, ada kingkong raksasa di @watugajahpark. Saking besarnya, kalian bisa naik ke atas untuk lihat panorama sekitar dari ketinggian. Oh iya, kalau mau basah-basahan bisa ke kolam keceh. Kalau suka kelinci bisa mampir ke taman kelinci. Yang suka main catur, cobain deh main catur raksasa.  di Semarang sekitarnya, ke sini kuuyyyy.   Mau tau info terbaru wisata Kabupaten Semarang? Yuk, follow @pesona_kabsemarang 


",warnai liburanmu di watu gajah park wuih ada kingkong raksasa di saking besarnya kalian bisa naik ke atas untuk lihat panorama sekitar dari ketinggian oh iya kalau mau basah basahan bisa ke kolam keceh kalau suka kelinci bisa mampir ke taman kelinci yang suka main catur cobain deh main catur raksasa di semarang sekitarnya ke sini kuuyyyy mau tau info terbaru wisata kabupaten semarang yuk follow ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/watu-gajah-park
8,Khatulistiwa Garden ,"PETIK STROBERI ON THE SPOT Cobain deh, petik stroberi langsung dari kebun @khatulistiwa.garden bersama orang tersayang. Ga cuma foto ,  bisa sekaligus wisata edukasi sambil menikmati udara segar di Bandungan. Stroberi merah segar, panorama hijau indah. Asli, bakal bikin kamu betah. Agendakan ya! 
--- 
---
 ",petik stroberi on the spot cobain deh petik stroberi langsung dari kebun garden bersama orang tersayang ga cuma foto bisa sekaligus wisata edukasi sambil menikmati udara segar di bandungan stroberi merah segar panorama hijau indah asli bakal bikin kamu betah agendakan ya ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/khatulistiwa-garden
9,Gua Maria Rosa Mystica ,"KEHENINGAN DI GUA MARIA ROSA MYSTICA Mari berziarah sembari menenangkan diri di Kecamatan Tuntang, Kabupaten Semarang. Cukup jauh dari keramaian, Gua Maria Rosa Mystica memberi kedamaian tersendiri saat berdoa. 



",keheningan di gua maria rosa mystica mari berziarah sembari menenangkan diri di kecamatan tuntang kabupaten semarang cukup jauh dari keramaian gua maria rosa mystica memberi kedamaian tersendiri saat berdoa ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/gua-maria-rosa-mystica
10,Dusun Semilir ,"AKHIR PEKAN SERU DI DUSUN SEMILIR Cari wisata keluarga yang komplit ? Pusat oleh-oleh, villa, wahana bermain anak, wahana perosotan pelangi yang memacu adrenalin, kulineran, sampai spot instagrammable ala eropa, korea, dll. Dusun Semilir jawabnya. Lokasinya strategis, mudah dijangkau. Hanya beberapa ratus meter saja dari exit tol Bawen. Mau rombongan bareng keluarga besar juga bisa banget. 

",akhir pekan seru di dusun semilir cari wisata keluarga yang komplit pusat oleh oleh villa wahana bermain anak wahana perosotan pelangi yang memacu adrenalin kulineran sampai spot instagrammable ala eropa korea dll dusun semilir jawabnya lokasinya strategis mudah dijangkau hanya beberapa ratus meter saja dari exit tol bawen mau rombongan bareng keluarga besar juga bisa banget ,https://visitjawatengah.jatengprov.go.id/id/regency/kabupaten-semarang/destinasi-wisata/dusun-semilir
