Terms,docFreq,postList
abad,4,"[29, 47, 44, 2]"
abdul,2,"[48, 46]"
acara,3,"[30, 65, 30]"
ada,16,"[14, 28, 70, 69, 68, 11, 36, 10, 63, 56, 35, 6, 35, 54, 57, 4]"
adalah,20,"[41, 33, 30, 38, 37, 35, 73, 57, 85, 15, 65, 83, 58, 82, 27, 45, 47, 18, 44, 77]"
adaptasi,1,[78]
adat,2,"[58, 58]"
adrenalin,2,"[9, 17]"
advanture,1,[34]
agak,1,[81]
agama,2,"[1, 48]"
agendakan,1,[7]
agro,2,"[18, 32]"
agung,4,"[49, 40, 49, 64]"
air,24,"[13, 3, 23, 60, 21, 16, 31, 17, 24, 21, 67, 19, 17, 19, 13, 5, 37, 30, 50, 58, 30, 13, 38, 13]"
airnya,2,"[17, 67]"
aja,3,"[4, 68, 71]"
ajak,1,[13]
akan,8,"[17, 40, 14, 34, 23, 70, 21, 35]"
akar,1,[59]
akhir,5,"[60, 59, 34, 9, 33]"
akhirnya,1,[48]
akibat,1,[48]
akomodasi,1,[27]
akses,2,"[61, 13]"
aksesoris,1,[50]
aksi,1,[57]
aktivitas,3,"[42, 61, 28]"
ala,1,[9]
alam,10,"[30, 42, 30, 33, 67, 16, 31, 30, 0, 64]"
alami,5,"[66, 34, 16, 47, 30]"
alas,1,[14]
alot,1,[81]
alter,1,[44]
alternatif,1,[30]
aman,1,[27]
ambarawa,16,"[12, 26, 12, 26, 26, 26, 73, 20, 74, 30, 22, 12, 73, 76, 20, 20]"
an,2,"[75, 52]"
anak,16,"[56, 61, 61, 36, 54, 36, 27, 27, 23, 18, 9, 5, 17, 24, 23, 54]"
and,2,"[34, 18]"
anda,21,"[63, 63, 63, 21, 61, 46, 45, 52, 16, 56, 56, 31, 16, 29, 21, 59, 59, 59, 59, 59, 29]"
aneka,5,"[16, 32, 27, 5, 68]"
anggun,1,[44]
angin,2,"[53, 15]"
angklung,1,[16]
angkutan,1,[58]
anna,1,[55]
antar,1,[29]
antara,8,"[68, 18, 16, 60, 59, 54, 45, 43]"
antaranya,1,[15]
antik,3,"[33, 35, 62]"
apa,2,"[4, 3]"
apakah,1,[72]
api,3,"[20, 62, 20]"
arab,2,"[45, 48]"
arabika,1,[71]
arang,1,[48]
area,9,"[30, 36, 31, 22, 47, 24, 67, 59, 29]"
aren,3,"[16, 81, 37]"
arena,1,[23]
argo,4,"[17, 17, 17, 17]"
aristokrat,1,[44]
arkeologi,1,[46]
arsitek,3,"[62, 55, 62]"
arsitekstunya,1,[35]
arsitektur,11,"[49, 48, 44, 47, 44, 44, 44, 50, 35, 59, 26]"
art,2,"[59, 62]"
artinya,1,[29]
asalnya,1,[15]
asia,1,[47]
asin,1,[77]
asisten,1,[48]
asli,3,"[47, 7, 15]"
asmaul,1,[49]
aspal,1,[27]
asri,1,[56]
assumpta,1,[12]
asuransi,1,[59]
asyik,1,[11]
at,1,[51]
atap,5,"[44, 2, 49, 48, 47]"
atas,5,"[21, 6, 20, 44, 74]"
atasnya,1,[81]
atau,19,"[64, 10, 3, 62, 25, 21, 42, 28, 54, 57, 58, 84, 58, 37, 43, 74, 69, 48, 58]"
ati,1,[75]
atraksi,2,"[16, 16]"
atv,4,"[28, 34, 10, 24]"
avalokitesvara,1,[50]
awal,2,"[53, 1]"
awalnya,2,"[52, 44]"
ayam,3,"[78, 63, 84]"
ayo,2,"[14, 5]"
ayoo,1,[5]
ayunan,1,[14]
babadan,1,[77]
babat,4,"[80, 80, 75, 80]"
bag,1,[10]
bagai,1,[34]
bagaikan,1,[19]
bagaimana,2,"[10, 40]"
bagi,12,"[59, 36, 66, 72, 27, 22, 36, 27, 28, 56, 31, 58]"
bagian,7,"[2, 48, 22, 49, 21, 57, 2]"
bahan,4,"[81, 16, 80, 83]"
bahasa,3,"[62, 29, 19]"
bahkan,1,[12]
baik,3,"[52, 21, 47]"
bakal,2,"[7, 72]"
bakau,1,[53]
bakso,3,"[77, 77, 63]"
baku,1,[81]
bakwan,1,[83]
baladewa,1,[37]
balemong,2,"[35, 35]"
bali,1,[40]
balok,1,[81]
bambu,3,"[16, 21, 68]"
ban,1,[10]
banaran,4,"[18, 18, 18, 18]"
bandeng,4,"[79, 79, 79, 79]"
bandungan,9,"[7, 69, 76, 28, 34, 70, 28, 15, 76]"
banget,1,[9]
bangsa,1,[26]
bangunan,16,"[47, 52, 49, 44, 44, 52, 27, 62, 20, 26, 29, 50, 68, 33, 50, 62]"
banjir,2,"[67, 67]"
bank,1,[59]
bantalan,1,[10]
bantuan,4,"[48, 57, 57, 57]"
banyak,13,"[83, 4, 62, 28, 11, 28, 11, 22, 69, 34, 47, 36, 59]"
banyu,1,[30]
banyubiru,5,"[72, 2, 14, 25, 72]"
banyukuning,1,[15]
barang,2,"[26, 35]"
barat,3,"[77, 17, 3]"
bareng,2,"[9, 5]"
barong,1,[41]
barouque,1,[44]
baru,5,"[39, 14, 13, 70, 45]"
basah,1,[6]
basahan,1,[6]
batu,4,"[55, 47, 44, 54]"
batur,2,"[10, 10]"
bawah,4,"[62, 57, 44, 24]"
bawang,1,[82]
bawen,5,"[18, 18, 32, 9, 77]"
baxo,2,"[77, 77]"
bebatuan,1,[16]
beberapa,12,"[45, 23, 9, 16, 18, 76, 47, 59, 57, 56, 54, 61]"
becak,1,[60]
beda,1,[21]
begitu,2,"[2, 50]"
belanda,8,"[62, 55, 20, 41, 52, 57, 62, 59]"
beli,1,[76]
beliau,1,[1]
bemacam,1,[78]
benang,2,"[19, 19]"
bencana,1,[67]
benda,4,"[38, 51, 38, 51]"
bendungan,1,[67]
benggala,1,[54]
benih,1,[32]
bentang,1,[16]
bentuk,2,"[26, 44]"
bentuknya,1,[81]
berada,11,"[14, 61, 27, 5, 53, 38, 15, 65, 40, 39, 34]"
beragam,7,"[60, 16, 75, 79, 63, 15, 52]"
berani,1,[42]
beraroma,2,"[85, 86]"
berarsitektur,1,[62]
berarti,4,"[29, 64, 62, 62]"
beras,1,[80]
berasal,4,"[64, 37, 74, 29]"
berbagai,10,"[80, 56, 27, 28, 26, 1, 24, 73, 80, 36]"
berbalut,1,[33]
berbasis,1,[1]
berbau,1,[17]
berbeda,5,"[21, 47, 74, 44, 23]"
berbentuk,4,"[57, 49, 44, 81]"
berbulan,1,[55]
bercat,1,[56]
bercocok,1,[16]
berdakwah,1,[1]
berdasarkan,1,[2]
berdekatan,1,[37]
berdiri,2,"[50, 51]"
berdirinya,1,[1]
berdoa,2,"[8, 22]"
berenang,1,[5]
berfoto,5,"[14, 56, 45, 56, 3]"
berfungsi,2,"[47, 40]"
bergaya,2,"[59, 44]"
bergelombang,1,[66]
beribadah,1,[39]
berisi,2,"[85, 75]"
berjalan,1,[59]
berjarak,3,"[60, 30, 25]"
berjauhan,1,[29]
berjuang,1,[26]
berkaitan,1,[51]
berkeliling,2,"[61, 43]"
berkelok,1,[27]
berkemah,3,"[29, 56, 0]"
berkesenian,1,[40]
berkonsep,1,[34]
berkunjung,4,"[43, 30, 77, 40]"
berlama,2,"[25, 66]"
berlapis,2,"[47, 48]"
berliku,1,[21]
berlokasi,3,"[19, 55, 28]"
bermain,4,"[42, 13, 9, 18]"
bermotor,2,"[53, 13]"
bernama,2,"[36, 26]"
bernuansa,1,[32]
berolahraga,1,[28]
berpadu,1,[66]
berpusat,1,[18]
bersama,7,"[7, 60, 1, 61, 10, 3, 33]"
bersandar,1,[14]
bersantai,1,[10]
bersejarah,1,[59]
berselera,1,[5]
bersumber,1,[17]
bertabur,1,[81]
bertahan,1,[84]
bertaraf,1,[66]
berubah,1,[52]
berukuran,1,[59]
berupa,5,"[62, 55, 17, 30, 65]"
berusia,1,[59]
berwarna,2,"[76, 81]"
berwisata,1,[59]
berwujud,1,[57]
berziarah,1,[8]
besar,5,"[48, 67, 9, 59, 81]"
besarnya,1,[6]
besi,1,[14]
betah,3,"[25, 66, 7]"
beternak,1,[16]
beton,1,[55]
biasa,4,"[43, 25, 25, 84]"
biasanya,2,"[82, 58]"
biaya,1,[36]
bibit,1,[32]
bidadari,1,[21]
bikin,4,"[5, 69, 7, 72]"
billiard,1,[24]
bin,1,[41]
bintoro,1,[1]
biru,1,[30]
bisa,26,"[7, 6, 28, 13, 13, 27, 0, 56, 27, 85, 46, 11, 67, 9, 10, 13, 10, 29, 6, 54, 5, 85, 42, 5, 6, 4]"
blanten,1,[17]
blauwboer,1,[55]
blenduk,2,"[59, 44]"
blume,1,[48]
boleh,1,[72]
bolodewo,3,"[37, 37, 37]"
bond,1,[28]
bonjol,1,[57]
boom,1,[54]
brawijaya,2,"[2, 2]"
brigde,1,[34]
bu,2,"[77, 77]"
buah,6,"[46, 24, 32, 32, 32, 43]"
buahan,1,[43]
buat,1,[4]
buatan,1,[27]
bubakan,1,[38]
budaya,7,"[30, 26, 47, 46, 16, 65, 59]"
buka,9,"[51, 36, 77, 77, 77, 68, 17, 17, 17]"
bukan,1,[43]
bukit,3,"[25, 25, 27]"
bulan,2,"[55, 30]"
bumbu,2,"[86, 72]"
bumbung,1,[16]
bunda,2,"[12, 22]"
bundaran,1,[38]
bunga,5,"[15, 15, 15, 15, 15]"
bungkus,1,[76]
bupati,1,[48]
buruan,1,[1]
burung,1,[56]
bus,2,"[46, 46]"
butterfly,1,[28]
cabe,1,[69]
caf,1,[28]
cagar,1,[59]
cairan,1,[74]
camilan,1,[69]
campuran,3,"[49, 83, 82]"
candi,14,"[2, 29, 2, 29, 15, 29, 11, 2, 2, 29, 2, 29, 2, 29]"
cantiknya,1,[21]
cap,4,"[78, 78, 78, 78]"
caping,2,"[42, 16]"
car,1,[59]
cara,1,[79]
cari,5,"[71, 4, 4, 9, 13]"
catur,2,"[6, 6]"
caving,1,[10]
celosia,3,"[15, 15, 15]"
cenderung,4,"[47, 74, 34, 74]"
cendrawasih,2,"[80, 38]"
cengkih,1,[81]
center,1,[24]
